Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.16.0.1-192.168.10.50-57518-21-6,172.16.0.1,57518,192.168.10.50,21,6,4/7/2017 10:00,3,2,0,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,4666666.667,666666.6667,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,666666.6667,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,64,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1-192.168.10.50-57576-21-6,172.16.0.1,57576,192.168.10.50,21,6,4/7/2017 10:00,9455444,9,15,108,188.0,25,0,12.0,9.759610648,34,0,12.53333333,14.54975045,31.30471716,2.53822031,411106.2609,1069752.291,3296578.0,3.0,6117489.0,764686.125,1415749.224,3183951.0,3.0,9455322.0,675380.1429,1320766.682,3296578.0,3.0,0,0,0,0,296,488,0.951832616,1.586387694,0,34,11.84,12.7039364,161.39,0,0,0,1,0,0,0,0,1,12.33333333,12.0,12.53333333,296,0,0,0,0,0,0,9,108,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.217.10.35-192.168.10.12-443-37026-6,192.168.10.12,37026,172.217.10.35,443,6,4/7/2017 10:00,116764865,9,7,351,435.0,213,0,39.0,68.94563075,217,0,62.14285714,73.94238426,6.731476973,0.137027521,7784324.333,20500000.0,58500000.0,1.0,117000000.0,14600000.0,27000000.0,58500000.0,1.0,117000000.0,19500000.0,30100000.0,58600000.0,2.0,1,0,0,0,288,224,0.077077981,0.05994954,0,217,58.76470588,78.3490024,6138.566176,0,1,0,0,1,0,0,0,0,62.4375,39.0,62.14285714,288,0,0,0,0,0,0,9,351,7,435,360,383,3,32,105500.5,37556.56247,132057.0,78944.0,58300000.0,357010.4356,58500000.0,58000000.0,BENIGN
172.16.0.1-192.168.10.50-57568-21-6,172.16.0.1,57568,192.168.10.50,21,6,4/7/2017 10:00,9586157,9,15,118,188.0,35,0,13.11111111,11.78393445,34,0,12.53333333,14.54975045,31.92102946,2.503610154,416789.4348,1044250.738,3322831.0,29.0,6679934.0,834991.75,1451914.621,3367017.0,227.0,9586093.0,684720.9286,1283693.748,3322831.0,47.0,0,0,0,0,296,488,0.938853808,1.564756346,0,35,12.24,13.27993474,176.3566667,0,0,0,1,0,0,0,0,1,12.75,13.11111111,12.53333333,296,0,0,0,0,0,0,9,118,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1-192.168.10.50-57514-21-6,172.16.0.1,57514,192.168.10.50,21,6,4/7/2017 10:00,221,2,1,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,63348.41629,13574.66063,110.5,94.0452019,177.0,44.0,221.0,221.0,0.0,221.0,221.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,9049.773756,4524.886878,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1-192.168.10.50-57484-21-6,172.16.0.1,57484,192.168.10.50,21,6,4/7/2017 10:00,218,2,1,14,0.0,14,0,7.0,9.899494937,0,0,0.0,0.0,64220.18349,13761.46789,109.0,73.53910524,161.0,57.0,218.0,218.0,0.0,218.0,218.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,20,9174.311927,4587.155963,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1-192.168.10.50-57478-21-6,172.16.0.1,57478,192.168.10.50,21,6,4/7/2017 10:00,8971532,9,15,100,188.0,22,0,11.11111111,8.781293248,34,0,12.53333333,14.54975045,32.10154074,2.675128395,390066.6087,984556.0558,3315259.0,3.0,5613037.0,701629.625,1215400.627,2950214.0,3.0,8971408.0,640814.8571,1211382.165,3315259.0,3.0,0,0,0,0,296,488,1.003173148,1.671955247,0,34,11.52,12.46702317,155.4266667,0,0,0,1,0,0,0,0,1,12.0,11.11111111,12.53333333,296,0,0,0,0,0,0,9,100,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
192.168.10.12-50.63.243.230-48026-80-6,192.168.10.12,48026,50.63.243.230,80,6,4/7/2017 10:00,4043,2,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,494.6821667,4043.0,0.0,4043.0,4043.0,4043.0,4043.0,0.0,4043.0,4043.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,494.6821667,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,264,-1,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
172.16.0.1-192.168.10.50-57518-21-6,172.16.0.1,57518,192.168.10.50,21,6,4/7/2017 10:00,8841705,9,15,100,188.0,22,0,11.11111111,8.724168219,34,0,12.53333333,14.54975045,32.57290308,2.71440859,384421.9565,969279.4422,3122205.0,3.0,5678840.0,709855.0,1241181.802,2898281.0,4.0,8841617.0,631544.0714,1192433.82,3122205.0,3.0,0,0,0,0,296,488,1.017903221,1.696505369,0,34,11.52,12.45364739,155.0933333,0,0,0,1,0,0,0,0,1,12.0,11.11111111,12.53333333,296,0,0,0,0,0,0,9,100,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
172.16.0.1-192.168.10.50-57578-21-6,172.16.0.1,57578,192.168.10.50,21,6,4/7/2017 10:00,9547390,9,15,127,188.0,35,0,14.11111111,12.61392529,34,0,12.53333333,14.54975045,32.99331021,2.513776016,415103.913,1087406.732,3612945.0,4.0,6393039.0,799129.875,1498085.721,3655223.0,242.0,9547284.0,681948.8571,1343546.627,3612945.0,4.0,0,0,0,0,296,488,0.942666006,1.57111001,0,35,12.6,13.56465997,184.0,0,0,0,1,0,0,0,0,1,13.125,14.11111111,12.53333333,296,0,0,0,0,0,0,9,127,15,188,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FTP-Patator
